Money Control,Yahoo-BSE(append .BO)
SBI,SBI
HDFC Bank,HDFCBANK
YES BANK,YESBANK
IndusInd Bank,INDUSINDBK
Federal Bank,FEDBANK
ITC,ITC
HDFC,HDFC
Nestle,NESTLE
Coal India,COALINDIA
Berger Paints,BERGEPAINT
Petronet LNG,PETRONET
Raymond,RAYMOND
Syndicate Bank,SYNDIBANK
PTC India,PTC
Tata Global Bev,TATAGLOBAL
TCS,TCS
Sun Pharma,SUNPHARMA
Godrej Consumer,GODREJCP
Lupin,LUPIN
Infosys,INFY
Asian Paints,ASIANPAINT
Eicher Motors,EICHERMOT
Ipca Labs,IPCALAB
Marico,MARICO
Bata India,BATA
Emami,EMAMI
Kajaria Ceramic,KAJARIAC
Glenmark,GLENMARK
