Stock,Buy Date,Sell Date,Qty,Buy Price,Sell Price
COALINDIA,12/6/2013,27/6/2014,4,310.29,382.8
COALINDIA,13/6/2013,27/6/2014,3,302.61,382.8
PTC,12/6/2013,27/6/2014,10,53.59,89.52
RAYMOND,8/5/2013,26/5/2014,10,314.06,357.56
FEDBANK,21/5/2013,11/7/2014,10,94.09,115.74
FEDBANK,22/5/2013,11/7/2014,20,93.26,115.74
FEDBANK,23/5/2013,11/7/2014,10,91.89,115.74
PETRONET,20/05/2013,11/7/2014,25,145.85,173.87
PETRONET,20/05/2013,14/07/2014,9,145.85,172.52
PETRONET,23/05/2013,14/07/2014,4,140.83,172.52
PETRONET,3/6/2013,14/07/2014,5,139.72,172.52
PETRONET,4/6/2013,14/07/2014,5,139.98,172.52
PETRONET,11/6/2013,14/07/2014,5,139.62,172.52
RAYMOND,8/5/2013,14/07/2014,2,314.06,390.16
RAYMOND,22/5/2013,14/07/2014,2,295.92,390.16
RAYMOND,23/5/2013,14/07/2014,2,289.55,390.16
RAYMOND,3/6/2013,14/07/2014,4,271.21,390.16
FEDERALBNK,7/6/2013,17/07/2014,40,90.41,124.63
