Stock,Net Returns,Ups,Downs,Up and Down count,Industry,Graph,Reported Net Profit(last 5 years),Debt equity ratio
Indian Oil Corporation Ltd.,14.3224058,8,5,FALSE,Refineries,,,
Reliance Industries Ltd.,15.51455365,7,6,FALSE,Diversified,,,
Bharat Petroleum Corporation Ltd.,15.06788311,8,5,FALSE,Refineries,,,
Hindustan Petroleum Corporation Ltd.,5.322008893,6,7,FALSE,Refineries,,,
3M India Ltd.,16.5447773,9,4,TRUE,Diversified,FALSE,,FALSE
Tata Steel Ltd.,19.0753467,8,5,FALSE,Steel,,,
Hindalco Industries Ltd.,9.628692979,8,5,FALSE,Aluminium,,,
Bharti Airtel Ltd.,35.28707576,7,4,FALSE,Telecommunications - Service,,,
NTPC Ltd.,6.032956549,4,5,FALSE,Power - Generation/Distribution,,,
Aban Offshore Ltd.,44.47369413,10,3,TRUE,Oil Drilling And Exploration,FALSE,,FALSE
Aditya Birla Nuvo Ltd.,24.93775684,9,4,TRUE,Textiles - Manmade Fibre - Rayon,FALSE,,
Mahindra & Mahindra Ltd.,18.9869216,7,6,FALSE,Auto - Cars & Jeeps,,,
Essar Oil Ltd.,26.83159833,6,7,FALSE,Refineries,,,
Mangalore Refinery And Petrochemicals Ltd.,20.13915708,6,7,FALSE,Refineries,,,
Bharat Heavy Electricals Ltd.,22.21342049,7,6,FALSE,Engineering - Heavy,,,
Tata Consultancy Services Ltd.,24.67948269,6,3,FALSE,Computers - Software,,,
Steel Authority of India (SAIL) Ltd.,27.46044831,7,6,FALSE,Steel,,,
GAIL (India) Ltd.,21.05904602,7,6,FALSE,Oil Drilling And Exploration,,,
Sterlite Industries (India) Ltd. (Amalgamated),40.76315744,7,5,FALSE,Metals - Non Ferrous - Copper/Copper Alloys - Prod,,,
Chennai Petroleum Corporation Ltd.,11.63749742,7,6,FALSE,Refineries,,,
Wipro Ltd.,8.82706593,8,5,FALSE,Computers - Software,,,
Akzo Nobel India Ltd.,19.0989019,9,4,TRUE,Paints/Varnishes,TRUE,OK,-
Allahabad Bank,23.66859267,8,3,TRUE,Finance - Banks - Public Sector,FALSE,,
