Stock,Latest Price,Change,Prev Close,Volume,Quantity,Inv. Price,Inv. Date,Inv. Amt,Intra High/Lows,52 Wk High/Lows,Todays Gain,Todays Gain%,Overall Gain,Overall Gain%,Latest Value,Broker,Notes
Infosys - NSE 24/09 (16:05),3691,46.2,"3,644.80",3.12m,3,3349,11/7/2014,10047,3718.80 / 3646.00,3849.95 / 2880.00,139,1.27,1026,10.21,11073,,
Berger Paints - NSE 24/09 (16:05),352.25,4.15,348.1,191386,20,212,25-02-2014,4240,358.50 / 348.10,374.50 / 201.40,83,1.19,2805,66.16,7045,,
TCS - NSE 24/09 (16:05),2708.6,65.6,"2,643.00",1.24m,1,2107,22-10-2013,2107,2725.00 / 2660.00,2782.45 / 1916.70,66,2.48,602,28.57,2709,,
Kajaria Ceramic - NSE 24/09 (16:05),623.15,6.05,617.1,68497,10,533,10/7/2014,5330,630.00 / 602.50,686.50 / 215.00,60,0.98,902,16.92,6232,,
Infosys - NSE 24/09 (16:05),3691,46.2,"3,644.80",3.12m,1,3266,27-03-2014,3266,3718.80 / 3646.00,3849.95 / 2880.00,46,1.27,425,13.01,3691,,
Finolex Cables - NSE 24/09 (16:05),208.2,1.75,206.45,466615,20,206.5,25-09-2014,4130,213.50 / 201.00,247.00 / 51.50,35,0.85,34,0.82,4164,,
Marico - NSE 24/09 (16:05),280.5,1.1,279.4,1.05m,17,209.5,22-04-2014,3562,282.70 / 277.00,296.85 / 200.05,19,0.39,1207,33.89,4769,,
HDFC - NSE 24/09 (16:05),1056.7,2,"1,054.70",3.56m,5,792,7/2/2014,3960,1067.25 / 1046.70,1151.40 / 755.00,10,0.19,1324,33.43,5284,,
ITC - NSE 24/09 (16:05),376.65,-0.55,377.2,8.74m,2,345.63,23-10-2013,691,379.90 / 372.30,387.50 / 307.55,-1,-0.15,62,8.97,753,,
ITC - NSE 24/09 (16:05),376.65,-0.55,377.2,8.74m,10,298.49,4/9/2013,2985,379.90 / 372.30,387.50 / 307.55,-6,-0.15,782,26.2,3767,,
ITC - NSE 24/09 (16:05),376.65,-0.55,377.2,8.74m,10,302.3,30-08-2013,3023,379.90 / 372.30,387.50 / 307.55,-6,-0.15,744,24.61,3767,,
ITC - NSE 24/09 (16:05),376.65,-0.55,377.2,8.74m,10,347.1,9/4/2014,3471,379.90 / 372.30,387.50 / 307.55,-6,-0.15,296,8.53,3767,,
ITC - NSE 24/09 (16:05),376.65,-0.55,377.2,8.74m,12,317.53,7/11/2013,3810,379.90 / 372.30,387.50 / 307.55,-7,-0.15,710,18.64,4520,,
ITC - NSE 24/09 (16:05),376.65,-0.55,377.2,8.74m,12,321.29,6/11/2013,3855,379.90 / 372.30,387.50 / 307.55,-7,-0.15,665,17.25,4520,,
ITC - NSE 24/09 (16:05),376.65,-0.55,377.2,8.74m,18,326.96,16-08-2013,5885,379.90 / 372.30,387.50 / 307.55,-10,-0.15,895,15.21,6780,,
Emami - NSE 24/09 (16:05),695.45,-1.4,696.85,107179,10,463,27-05-2014,4630,700.00 / 678.70,728.30 / 420.00,-14,-0.2,2325,50.22,6955,,
Nestle - NSE 24/09 (16:05),6109.1,-20.8,"6,129.90",15572,1,5199,3/12/2013,5199,6248.00 / 6050.10,6620.00 / 4525.00,-21,-0.34,910,17.5,6109,,
Lupin - NSE 24/09 (16:05),1361.7,-5.55,"1,367.25",884330,4,883.25,29-01-2014,3533,1391.80 / 1350.90,1442.15 / 840.40,-22,-0.41,1914,54.17,5447,,
Tata Global Bev - NSE 24/09 (16:05),160.3,-4.45,164.75,2.97m,5,140.88,2/7/2013,704,165.65 / 159.10,177.15 / 135.25,-22,-2.7,98,13.92,802,,
Lupin - NSE 24/09 (16:05),1361.7,-5.55,"1,367.25",884330,5,921,26-05-2014,4605,1391.80 / 1350.90,1442.15 / 840.40,-28,-0.41,2204,47.86,6809,,
Ipca Labs - NSE 24/09 (16:05),743.3,-6.65,749.95,139914,5,745,25-07-2014,3725,754.60 / 733.00,906.85 / 642.25,-33,-0.89,-8,-0.21,3717,,
Bata India - NSE 24/09 (16:05),1257.85,-10.55,"1,268.40",145287,4,1005,6/5/2014,4020,1274.50 / 1249.00,1362.90 / 810.10,-42,-0.83,1011,25.15,5031,,
Ipca Labs - BSE 24/09 (16:05),742.45,-8.85,751.3,14332,5,798,17-04-2014,3990,754.20 / 734.00,906.90 / 642.50,-44,-1.18,-278,-6.97,3712,,
Federal Bank - NSE 24/09 (16:05),122.15,-4.5,126.65,4.99m,10,90.41,7/6/2013,904,126.85 / 120.40,135.90 / 55.66,-45,-3.55,318,35.18,1222,,
Sun Pharma - NSE 24/09 (16:05),774.25,-6.4,780.65,3.04m,7,573.24,27-11-2013,4013,789.80 / 769.05,878.40 / 552.55,-45,-0.82,1407,35.06,5420,,
Sun Pharma - NSE 24/09 (16:05),774.25,-6.4,780.65,3.04m,7,589,11/3/2014,4123,789.80 / 769.05,878.40 / 552.55,-45,-0.82,1297,31.46,5420,,
Syndicate Bank - NSE 24/09 (16:05),106.9,-10.35,117.25,4.35m,5,112.96,2/7/2013,565,116.75 / 106.00,180.00 / 66.00,-52,-8.83,-30,-5.31,535,,
HDFC Bank - NSE 24/09 (16:05),849.95,-5.5,855.45,4.15m,10,607.72,16-08-2013,6077,865.60 / 842.10,869.90 / 587.70,-55,-0.64,2423,39.87,8500,,15 721 20 758
HDFC Bank - NSE 24/09 (16:05),849.95,-5.5,855.45,4.15m,10,635.95,30-07-2013,6360,865.60 / 842.10,869.90 / 587.70,-55,-0.64,2140,33.65,8500,,
IndusInd Bank - NSE 24/09 (16:05),611.55,-11.15,622.7,939181,10,418.87,30-07-2013,4189,630.80 / 604.00,646.95 / 361.70,-112,-1.79,1927,46,6116,,15 486 20 510
Federal Bank - NSE 24/09 (16:05),122.15,-4.5,126.65,4.99m,25,87.68,11/6/2013,2192,126.85 / 120.40,135.90 / 55.66,-113,-3.55,862,39.32,3054,,15 105 20 109
Syndicate Bank - NSE 24/09 (16:05),106.9,-10.35,117.25,4.35m,11,89,30-07-2013,979,116.75 / 106.00,180.00 / 66.00,-114,-8.83,197,20.12,1176,,
Asian Paints - NSE 24/09 (16:05),620.65,-17.2,637.85,1.27m,7,540,17-04-2014,3780,643.00 / 618.10,680.95 / 451.00,-120,-2.7,565,14.95,4345,,
YES BANK - NSE 24/09 (16:05),543.9,-24.55,568.45,2.40m,5,301.8,31-07-2013,1509,567.90 / 541.70,634.70 / 280.40,-123,-4.32,1211,80.25,2720,,
Havells India - NSE 24/09 (16:05),249.95,-6.75,256.7,1.56m,20,255.25,24-09-2014,5105,258.40 / 246.20,1295.25 / 245.40,-135,-2.63,-106,-2.08,4999,,
Asian Paints - NSE 24/09 (16:05),620.65,-17.2,637.85,1.27m,8,513,30-04-2014,4104,643.00 / 618.10,680.95 / 451.00,-138,-2.7,861,20.98,4965,,
Glenmark - NSE 24/09 (16:05),684.15,-15.75,699.9,1.36m,10,548,14-07-2014,5480,720.85 / 679.75,790.00 / 487.60,-158,-2.25,1362,24.85,6842,,
