ISIN,Name,BSE,NSE,Fair Value,Industry
INE144J01027,20 Microns Limited,533022,20MICRONS,5,Mining
INE748C01020,3i Infotech Limited,532628,3IINFOTECH,10,IT Consulting And Software
INE470A01017,3M India Limited,523395,3MINDIA,10,Diversified
INE650K01013,8K Miles Software Services Limited,512161,8KMILES,10,Internet Software And Services
INE619I01012,A2Z Maintenance & Engineering Services Limited,533292,A2ZMES,10,Utilities:Non-Elec.
INE767A01016,Aarti Drugs Limited,524348,AARTIDRUGS,10,Pharmaceuticals
INE769A01020,Aarti Industries Limited,524208,AARTIIND,5,Commodity Chemicals
INE273D01019,Aarvee Denims & Exports Limited,514274,AARVEEDEN,10,Textiles
INE421A01028,Aban Offshore Limited,523204,ABAN,2,Exploration And Production
INE117A01022,ABB India Limited,500002,ABB,2,Heavy Electrical Equipment
INE358A01014,Abbott India Limited,500488,ABBOTINDIA,10,Pharmaceuticals
INE605B01016,Aditya Birla Chemicals (India) Limited,500057,ABCIL,10,Commodity Chemicals
INE067H01016,ABG Shipyard Limited,532682,ABGSHIP,10,Commercial Vehicles
INE069A01017,Aditya Birla Nuvo Limited,500303,ABIRLANUVO,10,Diversified
INE012A01025,ACC Limited,500410,ACC,10,Cement And Cement Products
INE793A01012,Accelya Kale Solutions Limited,532268,ACCELYA,10,IT Consulting And Software
INE731H01025,Action Construction Equipment Limited,532762,ACE,2,Transport Related Services
INE055L01013,Acropetal Technologies Limited,533330,ACROPETAL,10,IT Consulting And Software
INE423A01024,Adani Enterprises Limited,512599,ADANIENT,1,Comm.Trading  And Distribution
INE742F01042,Adani Ports and Special Economic Zone Limited,532921,ADANIPORTS,2,Marine Port And Services
INE814H01011,Adani Power Limited,533096,ADANIPOWER,10,Electric Utilities
INE982B01019,ADF Foods Limited,519183,ADFFOODS,10,Packaged Foods
INE400H01019,Adhunik Metaliks Limited,532727,ADHUNIK,10,Iron And Steel/Interm.Products
INE045A01017,Ador Welding Limited,517041,ADORWELD,10,Other Industrial Goods
INE102I01027,Allied Digital Services Limited,532875,ADSL,5,IT Consulting And Software
INE199C01026,Advani Hotels & Resorts (India) Limited,523269,ADVANIHOTR,2,Hotels
INE517H01028,Advanta Limited,532840,ADVANTA,2,Other Agricultural Products
INE208C01017,Aegis Logistics Limited,500003,AEGISCHEM,10,Oil Marketing And Distribution
INE020G01017,Accel Frontline Limited,532774,AFL,10,IT Consulting And Software
INE796A01023,Aftek Limited,530707,AFTEK,2,IT Software Products
INE204E01012,Agarwal Industrial Corporation Limited,531921,AGARIND,10,Petrochemicals
INE676A01019,AGC Networks Limited,500463,AGCNET,10,IT Consulting And Software
INE449G01018,Agri-Tech (India) Limited,537292,AGRITECH,10,Other Agricultural Products
INE135B01014,Agro Dutch Industries Limited,519281,AGRODUTCH,10,Other Agricultural Products
INE926K01017,Asian Hotels (East) Limited,533227,AHLEAST,10,Hotels
INE758C01029,Ahluwalia Contracts (India) Limited,532811,AHLUCONT,2,Realty
INE915K01010,Asian Hotels (West) Limited,533221,AHLWEST,10,Hotels
INE425A01011,Ahmednagar Forgings Limited,513335,AHMEDFORGE,10,Other Industrial Products
INE212H01026,AIA Engineering Limited,532683,AIAENG,2,Other Industrial Goods
